"","player.ids","rank","TotalKills","TotalDeaths","TotalShotsFired","TotalShotsLanded","TotalMeleeKills","TotalGrenadeKills","TotalTimePlayed","TotalGamesCompleted","TotalGamesWon","TotalGamesLost","TotalGamesTied","xp","HoursPlayed","WinPercent","Accuracy","Season"
"94","Juicy CV",93,9445,8587,141377,70461,1192,503,"P3DT20H51M16.8457993S",749,431,312,6,31740786,93,58,50,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"95","How The Flip",95,6652,5481,95900,61649,462,385,"P2DT15H8M40.6274009S",488,249,239,0,11515396,63,51,64,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"96","KIMBQ",96,5216,3930,64688,38913,498,309,"P1DT21H22M39.074364S",439,321,118,0,23707447,45,73,60,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"97","HuNtxR Jjx",97,7163,5382,107723,58050,539,403,"P2DT12H53M35.1473202S",528,397,129,2,20243393,61,75,54,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"98","Renegade JW",98,2240,1396,26196,16307,219,127,"PT16H54M46.7040546S",136,83,53,0,13897100,17,61,62,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"99","derderf",99,5289,4265,71068,44485,451,296,"P1DT22H5M7.5325921S",392,227,164,1,18890172,46,58,63,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"100","Qristola",99,2616,2109,37334,20635,215,136,"P1DT11M48.3893333S",219,160,59,0,25472283,24,73,55,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"101","Thraxuss",101,2216,1635,32937,18407,194,135,"PT19H34M31.487202S",166,127,39,0,19182717,20,77,56,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"102","SEBAS7626",102,7011,5877,109531,62969,641,484,"P2DT15H3M28.0398771S",511,271,238,2,8001679,63,53,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"103","FLA5H",103,5605,4846,91462,49931,521,431,"P2DT5H38M4.2585737S",424,225,194,5,21093284,54,53,55,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"104","Na57y",104,1900,1500,25214,14326,207,115,"PT16H46M10.6523146S",159,122,37,0,767306,17,77,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"105","Ignited AE",105,5362,3948,79532,45985,406,282,"P1DT21H42.9550302S",360,193,164,3,828630,45,54,58,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"106","Primacy HCS",106,4839,3543,70868,38857,367,241,"P1DT18H58M18.9261387S",348,222,124,2,25195223,43,64,55,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"107","SoSnakey",107,2768,2134,38392,21743,208,170,"PT23H33M2.3812352S",208,144,64,0,19880776,24,69,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"108","CL0NELY",108,5672,5137,80100,46163,722,421,"P2DT5H6M46.2551849S",445,282,163,0,4980809,53,63,58,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"109","Lord CrisiiS",108,5317,3819,68495,44794,315,263,"P1DT17H39M28.4229449S",348,221,127,0,5282012,42,64,65,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"110","Zensik",108,1738,1186,23425,14286,134,78,"PT15H20M17.4593203S",132,98,33,1,19535479,15,74,61,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"111","Fool The Mind",111,10760,8478,153612,87016,951,577,"P3DT17H45M50.1084946S",740,432,306,2,2567573,90,58,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"112","Leash Leads",111,7474,7236,140927,71336,560,498,"P3DT1H18M13.5230192S",576,296,278,2,20018662,73,51,51,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"113","HIT Dany Knight",113,2991,2439,44277,24727,302,187,"P1DT2H23M44.5368695S",238,171,67,0,14130034,26,72,56,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"114","S 3lioh",114,4035,3640,67903,36524,423,272,"P1DT15H53M42.5945144S",351,256,94,1,22077581,40,73,54,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"115","Organs the noob",115,2657,1981,31358,19404,305,197,"PT21H51M55.6642281S",191,103,87,1,614866,22,54,62,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"116","Blajnd",116,4352,3671,64900,36011,384,304,"P1DT15H1M17.488574S",321,204,117,0,18641407,39,64,55,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"117","Manny HCS",117,7082,6496,98105,52632,1101,424,"P2DT15H19M58.0538483S",537,355,182,0,25145973,63,66,54,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"118","Haiz Chamako MJ",117,3726,2933,49397,27904,451,214,"P1DT7H10M10.9142388S",258,154,102,2,30607477,31,60,56,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"119","Commonly FLYS",117,1149,806,15954,8523,98,90,"PT10H29M30.4239521S",95,81,14,0,13596737,10,85,53,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"120","iPablo sG",120,3114,2942,52749,27253,305,165,"P1DT4H25M34.3367491S",234,142,92,0,14308518,28,61,52,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"121","SiickaThanYoAvg",120,4354,4481,61646,35325,362,311,"P1DT20H22M16.5814984S",383,219,163,1,23626771,44,57,57,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"122","King Nicck",120,2253,1761,29924,17745,202,99,"PT17H33M49.2566208S",138,87,50,1,27051948,18,63,59,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"123","heon woo",123,970,602,13115,7275,63,64,"PT6H53M16.0228445S",58,50,8,0,439396,7,86,55,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"124","ObnoxiuzZ",124,9569,9223,156943,88589,938,472,"P3DT20H20M12.0140767S",758,399,356,3,23398656,92,53,56,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"125","slgslg31",125,2124,1580,29768,17179,181,109,"PT17H58M7.6412277S",155,108,47,0,14761244,18,70,58,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"126","Links 0carina",125,2018,1826,26574,16229,143,152,"PT18H52M50.1249135S",162,85,77,0,2576015,19,52,61,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"127","lil WlLL",125,5029,4254,77396,41319,397,278,"P2DT29M19.9947867S",391,224,165,2,25288889,48,57,53,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
"128","Twenty mgs",128,1481,759,16279,10482,84,85,"PT9H24M37.5561925S",82,61,21,0,203226,9,74,64,"f7b4e7b4-8f70-431d-b604-d13cffff1114"
