"","PlaylistId","MatchDuration","durations"
"56","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M38.8670895S",578.8670895s (~9.65 minutes)
"57","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M42.6153207S",522.6153207s (~8.71 minutes)
"58","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M43.3744608S",583.3744608s (~9.72 minutes)
"59","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M23.8891963S",383.8891963s (~6.4 minutes)
"60","867f9347-880c-4411-98ea-47166be6b9ed","PT12M29.6294791S",749.6294791s (~12.49 minutes)
"61","867f9347-880c-4411-98ea-47166be6b9ed","PT7M23.2581662S",443.2581662s (~7.39 minutes)
"62","867f9347-880c-4411-98ea-47166be6b9ed","PT4M6.0793483S",246.0793483s (~4.1 minutes)
"63","867f9347-880c-4411-98ea-47166be6b9ed","PT4M38.8694323S",278.8694323s (~4.65 minutes)
"64","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M12.2166838S",432.2166838s (~7.2 minutes)
"65","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M0.1357427S",540.1357427s (~9 minutes)
"66","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M38.3012195S",518.3012195s (~8.64 minutes)
"67","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M50.3450021S",410.3450021s (~6.84 minutes)
"68","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M5.010148S",365.010148s (~6.08 minutes)
"69","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M22.184151S",442.184151s (~7.37 minutes)
"70","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M28.186212S",448.186212s (~7.47 minutes)
"71","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M18.1072427S",198.1072427s (~3.3 minutes)
"72","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M58.332854S",238.332854s (~3.97 minutes)
"73","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M40.3636788S",460.3636788s (~7.67 minutes)
"74","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M26.128556S",446.128556s (~7.44 minutes)
"75","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M31.305332S",451.305332s (~7.52 minutes)
"76","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M46.7977138S",226.7977138s (~3.78 minutes)
"77","5c9808b0-03a3-4577-b966-7217f9dda52d","PT2M50.9650248S",170.9650248s (~2.85 minutes)
"78","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M55.8288748S",235.8288748s (~3.93 minutes)
"79","5c9808b0-03a3-4577-b966-7217f9dda52d","PT2M43.9444914S",163.9444914s (~2.73 minutes)
"80","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M38.1468062S",338.1468062s (~5.64 minutes)
"81","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M44.8985225S",404.8985225s (~6.75 minutes)
"82","5c9808b0-03a3-4577-b966-7217f9dda52d","PT4M50.7838279S",290.7838279s (~4.85 minutes)
"83","5c9808b0-03a3-4577-b966-7217f9dda52d","PT4M1.716644S",241.716644s (~4.03 minutes)
"84","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M9.3249778S",309.3249778s (~5.16 minutes)
"85","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M57.1095172S",237.1095172s (~3.95 minutes)
"86","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M51.5755112S",411.5755112s (~6.86 minutes)
"87","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M27.0681673S",327.0681673s (~5.45 minutes)
"88","5c9808b0-03a3-4577-b966-7217f9dda52d","PT2M47.3548748S",167.3548748s (~2.79 minutes)
"89","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M3.4255105S",303.4255105s (~5.06 minutes)
"90","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M4.9669926S",304.9669926s (~5.08 minutes)
"91","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M14.5311466S",554.5311466s (~9.24 minutes)
"92","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M46.6129351S",466.6129351s (~7.78 minutes)
"93","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M14.7594772S",494.7594772s (~8.25 minutes)
"94","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M21.5258707S",381.5258707s (~6.36 minutes)
"95","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M19.2295301S",559.2295301s (~9.32 minutes)
"96","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M12.2166838S",432.2166838s (~7.2 minutes)
"97","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M49.1515587S",469.1515587s (~7.82 minutes)
"98","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M25.5629781S",205.5629781s (~3.43 minutes)
"99","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M48.6794639S",348.6794639s (~5.81 minutes)
"100","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M29.4472623S",509.4472623s (~8.49 minutes)
"101","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT5M55.2651316S",355.2651316s (~5.92 minutes)
"102","892189e9-d712-4bdb-afa7-1ccab43fbed4","PT6M8.6294425S",368.6294425s (~6.14 minutes)
"103","5c9808b0-03a3-4577-b966-7217f9dda52d","PT12M19.922001S",739.922001s (~12.33 minutes)
"104","5c9808b0-03a3-4577-b966-7217f9dda52d","PT10M0.4649412S",600.4649412s (~10.01 minutes)
"105","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M37.3492575S",337.3492575s (~5.62 minutes)
"106","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M18.5973812S",498.5973812s (~8.31 minutes)
"107","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M18.4410783S",498.4410783s (~8.31 minutes)
"108","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M15.2358099S",375.2358099s (~6.25 minutes)
"109","5c9808b0-03a3-4577-b966-7217f9dda52d","PT3M26.2998612S",206.2998612s (~3.44 minutes)
"110","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M1.6990973S",421.6990973s (~7.03 minutes)
"111","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M33.7458412S",393.7458412s (~6.56 minutes)
"112","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M23.4280876S",323.4280876s (~5.39 minutes)
"113","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M12.036751S",492.036751s (~8.2 minutes)
"114","5c9808b0-03a3-4577-b966-7217f9dda52d","PT9M49.4331833S",589.4331833s (~9.82 minutes)
"115","5c9808b0-03a3-4577-b966-7217f9dda52d","PT7M59.180004S",479.180004s (~7.99 minutes)
"116","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M52.9495709S",412.9495709s (~6.88 minutes)
"117","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M5.0790192S",365.0790192s (~6.08 minutes)
"118","5c9808b0-03a3-4577-b966-7217f9dda52d","PT12M19.4345867S",739.4345867s (~12.32 minutes)
"119","5c9808b0-03a3-4577-b966-7217f9dda52d","PT34.367341S",34.367341s
"120","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M50.7197566S",350.7197566s (~5.85 minutes)
"121","5c9808b0-03a3-4577-b966-7217f9dda52d","PT12M23.252478S",743.252478s (~12.39 minutes)
"122","5c9808b0-03a3-4577-b966-7217f9dda52d","PT6M53.9269909S",413.9269909s (~6.9 minutes)
"123","5c9808b0-03a3-4577-b966-7217f9dda52d","PT5M5.6060007S",305.6060007s (~5.09 minutes)
"124","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M21.0701508S",501.0701508s (~8.35 minutes)
"125","5c9808b0-03a3-4577-b966-7217f9dda52d","PT8M0.6254043S",480.6254043s (~8.01 minutes)
"126","35b3885d-5608-40f0-987c-5cec4b55cf17","PT12M18.1340025S",738.1340025s (~12.3 minutes)
